event,ID,default,Prepayment,vintage,cred_score,DBT_RATIO,start_date,end_date
2,1266500808169000,0,1,1999,733,0.18,01Dec2005,01Jan2006
2,1266500835649000,0,1,1999,740,0.24,01Dec2005,01Jan2006
2,1266500937729000,0,1,2000,708,0.47,01Dec2005,01Jan2006
2,1275500480249000,0,1,1998,647,0.28,01Dec2005,01May2007
2,1277500940149000,0,1,1998,770,0.13,01Dec2005,01Apr2007
2,1278500480299000,0,1,2004,716,0.37,01Dec2005,01Jun2008
1,1278500493869000,1,0,2007,750,0.12,01Apr2007,01Feb2010
2,1280500686769010,0,1,1997,721,0,01Dec2005,01Jan2006
2,1285500716009000,0,1,2004,766,0.42,01Dec2005,01Jan2006
2,1285501248529000,0,1,2001,661,0.41,01Dec2005,01Jan2006
2,1291502995689000,0,1,1994,614,0,01Dec2005,01May2006
2,1801500579589000,0,1,2000,739,0.39,01Dec2005,01Jan2009
2,1806500297349000,0,1,1999,675,0.34,01Dec2005,01Jan2006
2,1811500605499000,0,1,2007,667,0.14,01Oct2007,01Sep2008
2,1817500215349000,0,1,1998,671,0.29,01Dec2005,01Jan2006
2,1821500363949000,0,1,2001,703,0.32,01Dec2005,01Jan2006
2,1821500404729000,0,1,1999,727,0.26,01Dec2005,01Jan2006
2,1822500296129000,0,1,1999,719,0.25,01Dec2005,01Jul2011
2,1823500513229000,0,1,1998,712,0.33,01Dec2005,01Jan2006
2,1823506695049000,0,1,2001,721,0.27,01Dec2005,01Dec2006
2,1823506809159000,0,1,2000,668,0.4,01Dec2005,01Oct2007
2,1829500026819000,0,1,2000,726,0.2,01Dec2005,01Apr2007
2,1901500098529000,0,1,2000,730,0.29,01Dec2005,01Jan2006
2,1901500141209000,0,1,2004,625,0.25,01Dec2005,01Feb2009
0,1901500839129000,0,0,2006,755,0.22,01May2006,
2,1901500852819000,0,1,2002,637,0.29,01Dec2005,01Jan2006
0,1901502053259000,0,0,2001,645,0.4,01Dec2005,
2,1901502364769000,0,1,2004,774,0.38,01Dec2005,01Jan2006
2,1901502660819000,0,1,2003,581,0.64,01Dec2005,01Jan2006
2,1901503059319000,0,1,2005,651,0.14,01Dec2005,01Jul2012
0,1901503091129000,0,0,2000,748,0.27,01Dec2005,
2,1901503128149000,0,1,2003,747,0.25,01Dec2005,01Feb2006
2,1901503565609000,0,1,2002,760,0.25,01Dec2005,01Jan2006
2,1901503917819000,0,1,2004,708,0.39,01Dec2005,01Jan2006
2,1901504023689000,0,1,2001,740,0.24,01Dec2005,01Aug2009
2,1901505098399000,0,1,2000,655,0.28,01Dec2005,01Jan2006
0,1901505124739000,0,0,2002,724,0.42,01Dec2005,
2,1901505694679000,0,1,2002,718,0.29,01Dec2005,01Jan2006
2,1901506508099000,0,1,2004,790,0.26,01Dec2005,01Jan2006
1,1901506669429000,1,0,2001,695,0.28,01Dec2005,01Apr2010
2,1901506865609000,0,1,2004,780,0.39,01Dec2005,01Jan2006
2,1901507078869000,0,1,2000,652,0.32,01Dec2005,01Jan2006
2,1901507681929000,0,1,2002,,0.27,01Dec2005,01May2012
2,1901507692619000,0,1,2001,709,0.34,01Dec2005,01Jan2006
2,1901507827059000,0,1,2002,710,0.14,01Dec2005,01Sep2011
2,1901508400399000,0,1,2007,666,0.32,01Mar2007,01Feb2012
0,1901508544399000,0,0,2006,802,0.36,01Sep2006,
2,1901508558779000,0,1,2001,643,0.28,01Dec2005,01Aug2007
0,1901508578109000,0,0,2002,752,0.15,01Dec2005,
1,1901508585829000,1,0,2002,686,0.15,01Dec2005,01May2010
2,1901508612659000,0,1,2002,608,0.32,01Dec2005,01Jan2006
2,1901509493919000,0,1,2004,777,0.04,01Dec2005,01Jan2006
1,1901509546389000,1,0,2001,692,0.23,01Dec2005,01Jun2009
2,1901509677999000,0,1,2000,691,0.07,01Dec2005,01Mar2012
1,1901509679939000,1,0,2001,651,0.34,01Dec2005,01May2007
2,1901510220389000,0,1,2004,683,0.18,01Dec2005,01Jan2006
2,1901510257549000,0,1,2002,753,0.24,01Dec2005,01Jan2006
0,1901510796929000,0,0,2008,762,0.3,01Sep2008,
2,1901510849209000,0,1,2004,796,0.25,01Dec2005,01Oct2006
1,1901510851969000,1,0,2005,663,0.47,01Dec2005,01Aug2009
1,1901510856849000,1,0,2003,721,0.42,01Dec2005,01Aug2009
1,1901510890949000,1,0,2006,533,0.44,01Mar2006,01May2010
2,1901510995029000,0,1,2001,0,0.29,01Dec2005,01Jan2006
